Job Title,Average Compensation (USD),Number of Engineers
SR APPLICATION ENGINEER,656750.00,4
CONTROL SYSTEMS ENGINEER,568100.00,1
SR. PRINCIPAL ENGINEER,557000.00,1
"SOFTWARE ENGINEER, IC6 @ FACEBOOK",475000.00,1
WINDOWS ENGINEER,404000.00,2
SR. ENGINEERING MANAGER,402500.00,2
STAFF SOFTWARE ENGINEER,387850.00,20
ML ENGINEER,365000.00,1
PRINCIPAL SOLUTION ENGINEER,300000.00,1
CHIEF DATA SCIENTIST AND VP ENGINEERING,300000.00,1
SR. DIRECTOR ENGINEERING,290000.00,1
AUDIO ENGINEER,286000.00,1
DEVOPS AUTOMATION ENGINEER,275000.00,1
SECURITY ENGINEERING MANAGER,275000.00,1
SENIOR SERVICE ENGINEER,265300.00,1
"DIRECTOR, ENGINEERING",261000.00,1
REVERSE ENGINEER,260000.00,1
SENIOR STATIONARY ENGINEER,255000.00,1
SENIOR STAFF ENGINEER,254865.62,4
DIRECTOR OF ELECTRICAL ENGINEERING,252000.00,1
DIGITAL VLSI DESIGN ENGINEER,250000.00,1
SALES ENGINEER DIRECTOR,250000.00,1
SOFTWAREENGINEER,250000.00,1
SOFTWARE ENGINEER (BACKEND),250000.00,1
FOUNDING ENGINEER,249000.00,1
DIRECTOR OF DATA ENGINEERING,240000.00,1
DISTINGUISHED ENGINEER,240000.00,2
HW ENGINEER 4,240000.00,1
"VP, ENGINEERING",236666.67,3
"EXECUTIVE DIRECTOR, SOFTWARE ENGINEERING",236000.00,1
DIRECTOR OF ENGINEERING,235428.54,26
VICE PRESIDENT OF ENGINEERING,235000.00,1
"SENIOR VICE PRESIDENT, ENGINEERING",235000.00,1
PRODUTION ENGINEER,235000.00,1
"DIRECTOR, SALES ENGINEERING",233000.00,4
SR STAFF SOFTWARE ENGINEER,231000.00,2
PRINCIPLE DEVOPS ENGINEER,230000.00,1
SENIOR ENGINEERING MANAGER,226666.67,6
SENIOR RESERVOIR ENGINEERING ADVISOR,225000.00,1
FLOW LINE ENGINEER,222500.00,1
"VP, APPLICATION ENGINEERING",220000.00,1
SOFTWARE DEVELOPMENT ENGINEER III,220000.00,1
CAPITAL ENGINEERING PROJECT MANAGER,220000.00,1
VP OF ENGINEERING,219800.00,5
VICE PRESIDENT ENGINEERING,219000.00,1
VP ENGINEERING,218000.00,5
"PRINCIPAL, SYSTEMS ENGINEERING",218000.00,1
"MANAGER, MECHANICAL ENGINEERING",218000.00,1
"CHIEF ENGINEER, SECURITY",217000.00,1
"SR. MANAGER, SYSTEMS ENGINEERING",217000.00,1
PRODUCT DEVELOPEMENT MANAGER /DESIGN ENGINEER,215000.00,1
SENIOR SOFTWARE ENGINEERING MANAGER,215000.00,2
GO SOFTWARE ENGINEERING,215000.00,3
SOFTWARE ENGINEERING MGR,213500.00,1
MANAGER OF SALES ENGINEERING,213000.00,1
STAFF RESEARCH ENGINEER,212000.00,1
APPLICATION ENGINEERING MANAGER,212000.00,1
SENIOR DIRECTOR OF ENGINEERING,210000.00,3
DIRECTOR ENGINEERING,210000.00,1
SOFTWARE DEVELOPMENT ENGINEER 2,210000.00,1
SR. SALES ENGINEER,210000.00,1
ASIC DESIGN ENGINEER,210000.00,1
SITE RELIABILITY ENGINEER - SOFTWARE ENGINEER,209790.00,1
CLOUD PARTNER ENGINEER,206600.00,1
DIRECTOR OF SOFTWARE ENGINEERING,205000.00,2
SALES ENGINEERING MANAGER,204250.00,4
ENGINEERING DIRECTOR,201666.67,3
EMBEDDED LINUX ENGINEER,200000.00,1
SYSTEMS DEVELOPMENT ENGINEER II,200000.00,1
SR. ENTERPRISE NETWORK ENGINEER,200000.00,1
PRESALES ENGINEER,200000.00,1
STAFF VERIFICATION ENGINEER,200000.00,1
SR MANUFACTURING TEST ENGINEER,198000.00,1
API INTEGRATIONS ENGINEER,197000.00,1
"SENIOR DIRECTOR, ENGINEERING",196000.00,2
SENIOR DATA ENGINEER,193600.00,5
SOFTWARE ENGINEERING LEAD,193000.00,1
TECH LEAD AT. SYSTEMS ENGINEER,191000.00,1
APP SUPPORT ENGINEER,191000.00,1
PRINCIPAL INFORMATION SYSTEMS ENGINEER,190000.00,1
SR PRIN CYBER ENGINEER,190000.00,1
SENIOR PRINCIPAL SYSTEMS ENGINEER,190000.00,1
PRINCIPLE SOFTWARE ENGINEER,188500.00,3
GLOBAL DIRECTOR OF SOFTWARE ENGINEERING,187000.00,1
SR SOFTWARE ENGINEER,186916.40,10
SENIOR PRINCIPAL SOFTWARE ENGINEER,186666.67,3
SENIOR SALES ENGINEER,186600.00,5
SOFTWARE STAFF ENGINEER,186000.00,2
PRINCIPAL ROBOTICS ENGINEER,185000.00,1
SENIOR STAFF ENGINEER/SCIENTISST,185000.00,1
DATA PLATFORM ENGINEER,185000.00,1
RESEARCH ENGINEER SENIOR STAFF,185000.00,1
"MANAGER, CORROSION ENGINEERING",185000.00,1
SENIOR/STAFF SOFTWARE ENGINEER,185000.00,1
PRINCIPLE ENGINEER,184833.33,6
CONSULTING ENGINEER - COLLABORATION,182780.00,1
SENIOR HARDWARE ENGINEER,182500.00,2
STAFF SITE RELIABILITY ENGINEER,182000.00,1
SENIOR SOFTWARE ENGINEER II,182000.00,1
SENIOR ANDROID ENGINEER,180000.00,1
CYBER EXPLOIT ENGINEER,180000.00,1
DIRECTOR OF MECHANICAL ENGINEERING,180000.00,1
SR DIRECTOR SALES ENGINEERING,180000.00,1
PRINCIPAL SOFTWARE ENGINEER,178712.00,25
"MANAGER, SOFTWARE ENGINEERING",178500.00,2
SR. ADVISORY SYSTEMS ENGINEER,178000.00,1
SALES ENGINEER MANAGER,177325.00,2
SENIOR SITE RELIABILITY ENGINEER,176928.57,7
PRINCIPAL SYSTEM ENGINEER,175000.00,1
STAFF SERVICE RELIABILITY ENGINEER,175000.00,1
VP PRODUCT & ENGINEERING,175000.00,1
SR STORAGE ENGINEER,175000.00,1
SENIOR SOFTWARE AND SECURITY ENGINEER,175000.00,1
DESKTOP ENGINEER,174112.62,8
PRINCIPLE HARDWARE ENGINEER,174000.00,1
PRINCIPAL ENGINEER,173964.64,28
PRINCIPAL SYSTEMS ENGINEER,173875.00,8
STRATEGIC CLOUD ENGINEER,171805.00,1
SENIOR DATA SOFTWARE ENGINEER,170559.00,1
COMPUTER SYSTEMS ENGINEER IV,170000.00,1
PLATFORM ENGINEERING LEAD,170000.00,1
SENIOR SECURITY SERVICE ENGINEERING LEAD,170000.00,1
SENIOR SOFTWARE ENGINEER 2,168500.00,1
NETWORK ENGINEER MANAGER,168000.00,1
SR PROJECT ENGINEER,167900.00,1
SYSTEMS ENGINEER SR STAFF,167000.00,1
HEAD OF CYBER SECURITY ENGINEERING,166500.00,1
PRINCIPAL SIGNAL PROCESSING ENGINEER,166000.00,2
SR DEVOPS ENGINEER,165000.00,1
"SOFTWARE ENGINEERING MANAGER, R&D",165000.00,1
ST ENGINEER,165000.00,1
SR. PRINCIPAL CLOUD ENGINEER,165000.00,1
PRINCIPAL ELECTRONIC HARDWARE ENGINEER,165000.00,1
"TECH STAFF, SOFTWARE ENGINEERING",165000.00,1
HARDWARE SYSTEMS ENGINEER,165000.00,1
SENIOR ENGINEERING PROGRAM MANAGER,165000.00,1
SOFTWARE ENGINEER V,165000.00,1
ENGINEERING MANAGER,164002.73,84
SOFTWARE ENGINEER MTS,164000.00,1
CONSULTING ENGINEER,163250.00,4
SENIOR STAFF SOFTWARE ENGINEER,162500.00,2
SOFTWARE ENGINEERING MANAGER,162381.18,20
DATAWAREHOUSE ENGINEER,162000.00,1
"SENIOR STAFF ASSOCIATE, OPTICAL ENGINEER",161400.00,1
ENGINEERING PROGRAM MANAGER,160300.00,5
SE CONTRACTOR: HW/SW ENGINEER,160000.00,1
ACTIVE DIRECTORY ENGINEER,160000.00,1
SR. ENGINEER (SW),160000.00,1
INFORMATION SYSTEMS SECURITY ENGINEERING,160000.00,1
SENIOR OPTICAL ENGINEER,160000.00,1
SR CLOUD SERVICES ENGINEER,160000.00,1
STAFF ENGINEER - R&D,160000.00,1
SENIOR SOLUTION ENGINEER,160000.00,1
R&D ENGINEER V,160000.00,1
SR. INFORMAITON SECURITY ENGINEER,160000.00,1
PRINCIPAL OPERATIONS ENGINEER,158100.00,1
SOFTWARE DEV SENIOR ENGINEER,158000.00,1
ENGINEERING DIFFICULTY REVIEW CHAIRMAN,158000.00,1
DESIGN ENGINEERING MANAGER,157500.00,2
STAFF ENGINEER,157329.50,20
WEB ENGINEERING MANAGER,157000.00,2
SENIOR HARDWARE DESIGN ENGINEER,157000.00,1
STAFF CHIEF ENGINEER,157000.00,2
ENGINEERING LEAD,156333.33,3
PRINCIPAL QUALITY ENGINEER,155500.00,1
LEAD SITE RELIABILITY ENGINEER,155000.00,1
SENIOR WEB ENGINEER,155000.00,1
SOFTWARE ENGINEER (SWE),155000.00,1
"SENIOR SOFTWARE ENGINEER, FRONTEND",155000.00,1
SR ENGINEERING MANAGER,155000.00,1
SYSTEM DEVELOPMENT ENGINEER,155000.00,1
SR PRINICIPAL MECHANICAL ENGINEER,154000.00,1
SR ELECTRICAL ENGINEER,154000.00,1
SR. PLANNING ENGINEER,153000.00,1
SR QA ENGINEER,152000.00,1
RESEARCH ENGINEER,151277.78,9
PRINCIPAL MECHANICAL ENGINEER,150250.00,2
SR DATABASE ENGINEER,150000.00,1
PROTOCOL ENGINEER,150000.00,1
SOFTWARE APPLICATION ENGINEER,150000.00,3
ENTERPRISE ENGINEER,150000.00,1
SOLUTION  ENGINEER,150000.00,2
DIRECTOR OF SOFTWARE ENGINEERING FOR MARKETING,150000.00,1
SR. WEB APPLICATION ENGINEER,150000.00,1
QA ENGINEERING MANAGER,150000.00,1
IDENTITY ENGINEER - LEAD,149000.00,1
SENIOR SOFTWARE ENGINEER (IOS DEVELOPER),149000.00,1
DIGITAL DESIGN ENGINEER,148000.00,2
SR SYSTEM ENGINEER,147500.00,2
SOFTWARE DEVELOPMENT ENGINEER II,147250.00,4
SENIOR OPERATIONS ENGINEER,147031.25,8
CONSULTING SOFTWARE ENGINEER,147000.00,1
DEPUTY DIRECTOR OF ENGINEERING,147000.00,1
SOFTWARE DEVELOPMENT ENGINEER,146741.87,15
PROGRAM ENGINEER,144500.00,4
SENIOR RESERVOIR ENGINEER,144000.00,1
PRINCIPAL SITE RELIABILITY ENGINEER,144000.00,1
PRINCIPAL INFRASTRUCTURE ENGINEER,143950.00,2
BIG DATA ENGINEER,143577.50,2
SOFTWARE INTEGRATION ENGINEER,142350.00,1
PRINCIPAL DEVOPS ENGINEER,142000.00,1
"SUPPLIER QUALITY ENGINEER, SR STAFF",142000.00,2
PRODUCT ENGINEERING MANAGER,141666.67,3
SR. DEVOPS ENGINEER,140983.33,3
HARDWARE ENGINEER,140642.86,7
S. APPLICATION ENGINEER,140500.00,1
PRINCIPAL NETWORK ENGINEER,140333.33,3
SENIOR SECURITY ENGINEER,140329.83,6
SENIOR SYSTEMS  ENGINEER,140000.00,1
LEAD DATA ENGINEER,140000.00,1
LEAD INTEGRATION ENGINEER,140000.00,1
HEAD OF SOFTWARE ENGINEERING,140000.00,1
VIDEO ENGINEER,140000.00,1
ACOUSTIC ENGINEER,140000.00,1
ENGINEERING SECTION HEAD,140000.00,1
SENIOR FRONT END ENGINEER,140000.00,1
MANAGER EHS ENGINEERING,140000.00,1
MOBILE ENGINEER,140000.00,1
SENIOR RISK ENGINEER CONSTRUCTION,139500.00,1
LEAD SOFTWARE ENGINEER,139473.91,23
SENIOR SOFTWARE ENGINEER,139180.53,206
SENIOR DESKTOP ENGINEER,139000.00,1
SOFTWARE ENGINEER 2,138591.92,13
ADVISORY SOFTWARE ENGINEER,138500.00,2
SYSTEMS DEVELOPMENT ENGINEER,138400.00,1
COMPUTING ENGINEER,138000.00,2
LEAD SYSTEMS ENGINEER,137250.00,6
WEB ENGINEER,136500.00,1
PLATFORM SYSTEMS ENGINEER,136000.00,1
PRINCIPAL ENGINEER 1,136000.00,1
SOFTWARE ENGINEERING,136000.00,4
R&D ENGINEER MANAGER,136000.00,2
PRINCIPAL ELECTRICAL ENGINEER (QUALITY),136000.00,1
WEB SERVICES ENGINEER,135500.00,2
SYSTEM ENGINEER MANAGER,135000.00,1
APPLICATION SECURITY ENGINEER,135000.00,1
LEAD SYSTEM ENGINEER,135000.00,1
PERFORMANCE ENGINEER,135000.00,1
SR. INFRASTRUCTURE ENGINEER,135000.00,1
SENIOR ENGINEERING SPECIALIST,135000.00,1
SYSTEMS TEST ENGINEER,135000.00,1
PRINCIPAL R&D ENGINEER,135000.00,1
BUSINESS INTELLIGENCE ENGINEER,135000.00,1
RESEARCH AND DEVELOPMENT ENGINEER,134318.08,2
SR RESEARCH ENGINEER,134000.00,1
SOFTWARE ENGINEER,133371.96,622
SENIOR RESEARCH ENGINEER,133237.50,2
AUTOMATION ENGINEER,132391.57,7
ENGINEERING PROGRAM AND OPERATIONS MANAGER,132000.00,1
INFRASTRUCTURE OPERATIONS ENGINEER,132000.00,1
RESIDENT ENGINEER ELECTRICAL,132000.00,1
STAFF SYSTEMS ENGINEER,131500.00,2
DEV/ENGINEERING MANAGER,131000.00,1
SR QUALITY ENGINEER,131000.00,2
SENIOR CLOUD ENGINEER,130700.00,5
SENIOR VIRTUALIZATION ENGINEER,130500.00,2
CYBER SECURITY ANALYST/ENGINEER,130000.00,1
ADVANCED ENGINEER/SCIENTIST,130000.00,1
ALGORITHM AND MACHINE LEARNING ENGINEER,130000.00,1
SYSTEMS ENGINEER STAFF,130000.00,1
UI ENGINEER,130000.00,1
SOFTWARE ENGINEER MANAGER,130000.00,1
SYSTEMS ENGINEER IV,130000.00,1
PRINCIPAL NETWORK DESIGN ENGINEER,130000.00,1
PRINCIPLE FIELD CLINICAL ENGINEER,130000.00,1
SOFTWARE IMPLEMENTATION ENGINEER,130000.00,1
SOFTWARE BUILD ENGINEER,130000.00,1
STORAGE ENGINEER,129080.00,5
SR DEV OPS ENGINEER,129000.00,1
FRONT-END SOFTWARE ENGINEER,129000.00,1
SENIOR SUPPORT ENGINEER,128333.33,3
SENIOR TECHNOLOGY ENGINEER,128000.00,1
SENIOR COST ENGINEER,127800.00,1
INDUSTRIAL ENGINEERING MANAGER,127800.00,1
SENIOR NETWORK SECURITY ENGINEER,127750.00,2
SENIOR DEVOPS ENGINEER,127178.78,18
SENIOR PLATFORM RELIABILITY ENGINEER,127000.00,1
SR. GENERATION ENGINEER,127000.00,1
MEP ENGINEER,127000.00,1
"R&D S&E, MECHANICAL ENGINEERING",127000.00,1
SITE RELIABILITY ENGINEER,126996.18,33
SR NETWORK ENGINEER,126933.33,3
LEAD ENGINEER,126344.55,11
ENGINEERING PROJECT MANAGER,126250.00,4
PRINCIPAL MECHANICAL SYSTEMS ENGINEER,126000.00,1
ENGINEER GROUP LEAD,126000.00,1
SENIOR SECURITY SYSTEMS ENGINEER,126000.00,1
FLIGHT TEST ENGINEER,125916.50,4
DISTRIBUTION ENGINEERING MANAGER,125500.00,1
SENIOR CYBERSECURITY ENGINEER,125500.00,1
SENIOR NETWORK ENGINEER,125075.15,13
LEAD MECHANICAL ENGINEER,125000.00,1
SR. PERFORMANCE ENGINEER,125000.00,1
APPLICATIONS ENGINEERING,125000.00,1
SENIOR TEST ENGINEER,125000.00,1
SENIOR SYSTEMS ENGINEER NETWORKS,125000.00,1
PRINCIPAL PROCESS CONTROL ENGINEER,125000.00,1
PRINICPAL ENGINEER,125000.00,1
OPERATIONS ENGINEERING MANAGER,125000.00,1
NETWORK SYSTEMS ENGINEER,125000.00,2
SYSTEMS ENGINEER SENIOR ADVISOR,125000.00,1
ASSOCIATE DIRECTOR OF SOFTWARE ENGINEERING,125000.00,1
MOBILE BROADCAST ENGINEER,125000.00,1
INFRASTRUCTURE SENIOR DESIGN ENGINEER,125000.00,1
SCADA ENGINEER,125000.00,1
SENIOR SYSTEMS ENGINEER 1W,124000.00,1
MARINE ENGINEER,124000.00,2
CUSTOMER APPLICATIONS ENGINEER,124000.00,1
SR DATA ENGINEER,124000.00,1
LEAD INFRASTRUCTURE ENGINEER,123800.00,1
SENIOR WIRELESS NETWORK ENGINEER,123500.00,1
ENGINEERING TEAM LEAD,123333.50,3
SR SYSTEMS ENGINEER,123075.00,12
MECHANICAL INTEGRITY ENGINEER,123000.00,1
SENIOR REPORTING ENGINEER,123000.00,1
SR. SOFTWARE ENGINEER,122615.79,19
SENIOR LEAD ENGINEER,122500.00,2
SR.ENGINEER,122500.00,1
COMPUTER ENGINEER,122500.00,4
CLINICAL DATA ENGINEER,122000.00,1
SYSTEMS ENGINEER I,122000.00,1
SENIOR FULLSTACK SOFTWARE ENGINEER,122000.00,1
SECURITY ENGINEER,121619.96,24
CHIEF ENGINEER,121500.00,10
SENIOR DESIGN ENGINEER,121428.57,7
MONITORING ENGINEER,121250.00,1
SR. ENGINEER,120833.33,6
SENIOR MECHANCIAL ENGINEER,120000.00,1
FULL STACK SOFTWARE ENGINEER,120000.00,1
SOFTWARE ENGINEER IV,120000.00,3
SR. CLOUD ENGINEER,120000.00,1
PRINCPAL ENGINEER,120000.00,1
SENOIR SOFTWARE ENGINEER,120000.00,1
SOC DESIGN ENGINEER,120000.00,1
NETWORK ENGINEER 2,120000.00,1
TECHNICAL SUPPORT ENGINEER I,120000.00,1
