Job Title,Average Compensation (USD),Number of Engineers
ASSOC. SECURITY ENGINEER,82500.00,1
PROJECT ENGINEER,82348.00,82
SENIOR CIVIL ENGINEER,82346.00,2
SYSTEM ENGINEER,82232.75,54
EMBEDDED ENGINEER,82175.00,2
ASSOCIATE PRODUCT ENGINEER,82046.00,1
REGIONAL CHIEF ENGINEER,82000.00,1
VOICE ENGINEER,82000.00,1
DESIGN ENGINEERING LEAD/TEAM LEAD,82000.00,1
QUALITY ASSURANCE ENGINEER,81991.33,6
HYDRAULIC ENGINEER,81666.67,3
ONLINE INFRASTRUCTURE ENGINEER,81330.00,1
CONSTRUCTION ENGINEER - COST/SCHEDULE,81000.00,1
ELECTRICAL ENGINEER II,81000.00,1
PROCESS DEVELOPMENT ENGINEER,80750.00,2
SENIOR TECHNICAL SUPPORT ENGINEER,80750.00,4
NETWORK ENGINEER II,80340.00,1
SENIOR EMBEDDED SYSTEMS ENGINEER,80300.00,1
JR. FRONTEND ENGINEER,80200.00,1
LEAD ELECTRICAL ENGINEER,80000.00,1
ASSISTANT PROJECT ENGINEER,80000.00,1
SOFTWARE QUALITY ASSURANCE ENGINEER,80000.00,3
REVENUE ENGINEER,80000.00,1
LEAD TECHNICAL SUPPORT ENGINEER,80000.00,1
PROJECT ENVIRONMENTAL ENGINEER,80000.00,3
JR. FRONT END ENGINEER,80000.00,1
SENIOR QUALITY SYSTEMS ENGINEER,80000.00,1
QUALITY ENGINEER III,80000.00,1
PURCHASING MANAGER / ENGINEER,80000.00,1
APPLICATION DEVELOPMENT ENGINEER,80000.00,1
JR PROJECT ENGINEER,80000.00,1
REGIONAL SERVICE MANAGER/FIELD SERVICE ENGINEER,80000.00,1
SENIOR MATERIALS ENGINEER,80000.00,1
SOFTWARE ENGINEER ASSOCIATE,80000.00,1
DATA CENTER ENGINEER,79583.33,3
MANUFACTURING ENGINEER,79391.00,18
STRUCTURAL ENGINEER 2,79250.00,1
INDUSTRIAL ENGINEER,79092.00,10
SENIOR INFRASTRUCTURE ENGINEER (WINDOWS),79000.00,1
STAFF ELECTRICAL ENGINEER,79000.00,1
RESITES ENGINEER,79000.00,1
QUALITY ENGINEER,78938.44,30
SOFTWARE ENGINEER/PROJECT LEAD,78740.00,1
MECHANICAL DESIGN ENGINEER,78700.00,10
CLOUD PLATFORM ENGINEERING TEAM LEAD,78480.00,1
ASSOCIATE SENIOR SOFTWARE ENGINEER,78300.00,3
ENGINEER (EIT),78000.00,1
BIOINFORMATICS ENGINEER,78000.00,1
"ENGINEER, CLIENT PLATFORM",78000.00,1
MINING ENGINEER II,78000.00,1
SOFTWARE DEVELOPMENT ENGINEER 1,78000.00,1
IT ENGINEER - MAC SME,78000.00,1
BIM ENGINEER,78000.00,1
PRODUCT DESIGN ENGINEER,78000.00,2
MECHANICAL ENGINEER II,77900.00,2
STAFF WATER ENGINEER,77730.00,1
CALIBRATION ENGINEER,77550.00,1
IT OPERATIONS ENGINEER,77500.00,3
NSOC ENGINEER II,77500.00,1
SENIOR BACKEND ENGINEER,77381.00,1
SENIOR IT ENGINEER,77292.99,6
SOFTWARE ENGINEER IN TEST,77000.00,3
SENIOR PRODUCT ENGINEER,77000.00,1
MECHANICAL ENGINEER - PE,77000.00,1
SOFTWARE ENGINEER 1,77000.00,2
WIRELESS APPLICATIONS ENGINEER,77000.00,1
SENIOR LINUX INFRASTRUCTURE ENGINEER,76800.00,1
RF ENGINEER,76500.00,2
HEAD OF DATA ENGINEERING,76300.00,1
SENIOR INFOSEC ENGINEER,76200.00,1
STRESS ENGINEER,76200.00,1
CIVIL PROJECT ENGINEER,76000.00,1
TRANSPORTATION ENGINEER 3,76000.00,1
SENIOR SUPPLIER QUALITY ENGINEER,76000.00,1
SENIOR PACKAGING ENGINEER,76000.00,1
SENIOR PROCESS ENGINEER,76000.00,1
ASSOCIATE SOFTWARE ENGINEER,75961.54,13
"SOFTWARE ENGINEER, SYSTEM ADMINISTRATOR",75500.00,1
NETWORK SECURITY ENGINEER,75375.00,4
NETWORK OPERATIONS ENGINEER,75049.50,2
SENIOR TRAFFIC ENGINEER,75000.00,1
PARTS QUALITY ENGINEER,75000.00,1
SENIOR ENGINEERING TECHNICIAN,75000.00,1
PRODUCT TEST ENGINEER,75000.00,1
WINDOWS AND VIRTUALIZATION ENGINEER,75000.00,1
ENGINEERING ANALYST,75000.00,1
TECHNICAL SUPPORT ENGINEER LEVEL 2,75000.00,1
PROJECT ENGINEER IV,75000.00,1
CRITICAL FACILITIES ENGINEER,75000.00,1
QA AUTOMATION ENGINEER,75000.00,1
RESIDENT ENGINEER,75000.00,1
ENGINEERING DESIGNER,75000.00,1
ENGINEERING TECH 2,75000.00,1
EMBEDDED SOFTWARE ENGINEER,75000.00,2
PROJECR DESIGN ENGINEER,75000.00,1
TRANSPORTATION ENGINEER,74923.20,5
SOFTWARE ENGINEER I,74050.14,7
TECHNICAL CONSULTING ENGINEER,74000.00,1
SOC ENGINEER,74000.00,1
JR. MECHANICAL ENGINEER,74000.00,1
ENTERPRISE APPLICATION ENGINEER,74000.00,1
SYSTEMS ENGINEER 1,74000.00,3
AERONAUTICAL ENGINEER ASC,73967.00,1
ENGINEER 1,73966.67,6
INFORMATION SECURITY ENGINEER 1,73500.00,1
PROCESS/PROJECT ENGINEER,73500.00,1
DATACENTER ENGINEER,73000.00,1
SYSTEM ENGINEER/DEVOPS ENGINEER,73000.00,1
CIVIL ENGINEER EIT,73000.00,1
MID LEVELB ENVIRONMENTAL ENGINEER,73000.00,1
SECOPS ENGINEER,73000.00,1
ASSOCIATE TRANSPORTATION ENGINEER,72800.00,1
ENTRY ELECTRICAL ENGINEER,72500.00,1
HIGHWAY ENGINEER,72492.50,2
IT SUPPOER ENGINEER,72000.00,1
SOC ESCALATIONS ENGINEER,72000.00,1
VALIDATION ENGINEER,72000.00,2
HVAC PRODUCT ENGINEER,72000.00,1
ASSOCIATE QUALITY ENGINEER,72000.00,1
JR SOFTWARE ENGINEER,71666.67,3
FIELD SUPPORT ENGINEER,71424.56,3
DEVOPS ENGINEER III,71000.00,1
BIOMEDICAL ENGINEER II,71000.00,2
IT ENGINEER I,71000.00,1
MATERIALS SCIENCE ENGINEER,71000.00,1
QUALITY ENGINEERING,71000.00,1
INTERMEDIATE SOFTWARE ENGINEER,70810.00,1
SERVICE ENGINEER III,70800.00,1
WATER RESOURCES ENGINEER,70500.00,1
PRESALES SOFTWARE ENGINEER,70500.00,1
GEOTECHNICAL ENGINEER,70373.33,3
CI ENGINEER,70350.00,1
SYSTEMS ENGINEER II,70193.75,8
ENGINEER I,70039.33,9
TELEPHONY ENGINEER,70000.00,1
MICROSOFT SYSTEMS ENGINEER,70000.00,1
SAFETY ENGINEER,70000.00,1
MANUFACTURING PROCESS ENGINEER,70000.00,1
ASSOCIATE FULL-STACK ENGINEER,70000.00,1
CLOUD PROD OPS ENGINEER,70000.00,1
NPI ENGINEER,70000.00,1
NUCLEAR ENGINEER 1,70000.00,1
PROJECT SYSTEMS ENGINEER,70000.00,1
ELECTRONICS ENGINEER SENIOR,70000.00,1
DIGITAL PRODUCT ENGINEER,70000.00,1
ENGINEERING PROJECT LEADER,70000.00,1
CLOUD INFRASTRUCTURE ENGINEER,70000.00,1
ASSOCIATE SITE RELIABILITY ENGINEER,70000.00,1
TIER II ENGINEER,70000.00,1
INFRASTRUCTURE ENGINEER I,70000.00,1
PROJECT ENGINEER II (STRUCTURAL),70000.00,1
IT SOLUTIONS ENGINEER,69850.00,1
ASSOCIATE ENGINEER,69839.25,4
LEAN ENGINEER,69500.00,2
MANUFACTURING ENGINEER 2,69360.00,1
ROADWAY DESIGN ENGINEER,69000.00,1
ELECTROMECHANICAL ENGINEER,69000.00,1
IT SYSTEMS ENGINEER,68687.60,13
FIELD ENGINEER,68624.96,10
MECHANICAL ENGINEER I,68500.00,2
QA ENGINEER III,68250.00,1
ESCALATIONS ENGINEER,68250.00,1
IT ENGINEER,68194.86,13
GLOBAL ENGINEER,68100.00,1
AEROSPACE SYSTEMS ENGINEER,68020.00,1
MODELING AND ANALYSIS ENGINEER,68000.00,1
LAB ENGINEER,68000.00,1
NETWORK & VOIP ENGINEER,68000.00,1
PROFESSIONAL ENGINEER,68000.00,1
OSP ENGINEER,67560.00,1
INFRASTRUCTURE SUPPORT ENGINEER,67500.00,2
CORROSION ENGINEER - IN - TRAINING,67306.00,1
POWER ENGINEER,67160.00,1
QE ENGINEER,67000.00,2
ASSISTANT ENVIRONMENTAL ENGINEER,67000.00,1
FORENSIC ENGINEER,67000.00,1
SOFTWARE TEST AUTOMATION ENGINEER,66500.00,2
SOFTWARE OPERATIONS ENGINEER,66000.00,1
ENGINEER 1/2,66000.00,1
MIDDLEWARE ENGINEER II,66000.00,1
CUSTOMER SUPPORT ENGINEER,66000.00,2
ENDPOINT SYSTEMS ENGINEER,66000.00,1
RESEACH ENGINEER,65700.00,1
TECHNOLOGY ENGINEER II,65500.00,1
STRUCTURAL ENGINEERING SPECIALIST,65500.00,1
VMWARE AND STORAGE ENGINEER,65500.00,1
CHEMICAL ENGINEERING TECHNICIAN,65447.00,1
RESEARCH ENGINEERI,65400.00,1
TECHNICAL SUPPORT ENGINEER,65142.93,15
ENGINEERING EQUIPMENT OPERATOR,65101.00,1
TEST AUTOMATION ENGINEER I,65000.00,1
COMPUTER AUTOMATION ENGINEER I,65000.00,1
NEW PRODUCT ENGINEER,65000.00,1
PRESALES DESIGN ENGINEER,65000.00,1
MICROWAVE ENGINEER,65000.00,1
LEVEL 2 SYSTEMS ENGINEER,65000.00,1
CIVIL ASSOCIATE - CIVIL ENGINEER,65000.00,1
WATER PURIFICATION AND RESOURCE RECOVERY ENGINEER III,65000.00,1
MANUFACTURING ENGINEER 1,65000.00,1
SW ENGINEER ASSOCIATE,65000.00,1
SERVER ENGINEER,65000.00,1
CABINET ENGINEERING INTEGRATION,64240.00,1
MAINTENANCE ENGINEER,64127.50,2
STRUCTURAL ENGINEER (CIVIL ENGINEER PE),64000.00,1
PRODUCT DEVELOPMENT ENGINEER,63666.67,3
FRONT-END ENGINEER,63500.00,2
SYSTEM DESIGN ENGINEER,63500.00,1
INFRASTRUCTURE ENGINEER 1,63000.00,1
LINUX SYSTEM ENGINEER,62500.00,2
LEAD NETWORK ENGINEER,62500.00,2
CLOUD OPERATIONS ENGINEER,62500.00,2
FREELANCE SOFTWARE ENGINEER,62400.00,1
SOFTWARE TEST ENGINEER,62000.00,2
JR DEVOPS ENGINEER,62000.00,1
ENGINEER II,61500.00,4
INTERMEDIATE ROCK MECHANICS ENGINEER,61320.00,1
MATERIAL ENGINEER,61040.00,1
SYSTEM 'ENGINEER',61000.00,1
ENGINEER IN TRAINING I,61000.00,1
CYBER SECURITY SENIOR ENGINEER,61000.00,1
"TEAM LEAD, DATA ENGINEER",60500.00,1
ENTRY-LEVEL ENGINEER,60320.00,1
RELEASE ENGINEER,60000.00,1
DEVELOPER SUPPORT ENGINEER,60000.00,1
"CIVIL ENGINEER, EIT",60000.00,1
MECHANICAL ENGINEER 1,60000.00,1
UTILITIES ENGINEER,60000.00,1
SYSTEMS DESIGN ENGINEER,60000.00,1
NETWORK AND SYSTEMS ENGINEER,60000.00,1
INTERIOR DESIGN ENGINEER,60000.00,2
ASSOCIATE SALES ENGINEER,60000.00,1
NETWORK ENGINEER 1,60000.00,1
LIVE SOUND ENGINEER,60000.00,1
WINDOWS SERVER ENGINEER II,60000.00,1
JUNIOR R&D ENGINEER,59950.00,1
CIVIL ENGINEERING TECHNOLOGIST,59860.00,1
SOFTWARE QA ENGINEER,59587.50,2
PROJECT MANAGER & ENGINEER,59130.00,1
PROJECT TECHNICAL ENGINEER,59055.00,1
ASSOCIATE SYSTEMS ENGINEER,59000.00,1
"SENIOR TECHNICAL SUPPORT ENGINEER, DEDICATED SUPPORT",58850.00,1
ENVIRONMENTAL ENGINEERING,58000.00,1
HELP DESK ENGINEER,58000.00,1
CONSULTANT (ENVIRONMENTAL ENGINEERING),57670.00,1
PRINCIPAL GEOTECHNICAL ENGINEER,57150.00,1
TOWN ENGINEER,57000.00,1
TECHNICAL ACCOUNT ENGINEER,57000.00,1
NOC ENGINEER,56666.67,3
IT ENGINEER 2,56500.00,1
SYSTEMS OPERATIONS ENGINEER,56400.00,1
SERVICE DESK ENGINEER,56400.00,2
SUPPORT ENGINEER,56067.68,16
CIVIL DESIGN ENGINEER,56056.00,1
ENGINEER IN TRAINING,56000.00,2
GEOSPATIAL ENGINEER,56000.00,1
ASSOCIATE MANUFACTURING PROJECT ENGINEER,56000.00,1
SUBSEA ENGINEER,55880.00,1
SENIOR SERVICE DESK ENGINEER,55500.00,2
ELECTRICAL ENGINEERING TECHNICIAN,55000.00,1
SYSTEM SECURITY ENGINEER,55000.00,1
SNR CORPORATE APPLICATIONS ENGINEER,55000.00,1
ASSOCIATE NETWORK ENGINEER,55000.00,1
LEVEL 3 ENGINEER,55000.00,1
TECHNICAL SERVICES ENGINEER,54250.00,2
GRADUATE ENGINEER,54069.81,3
STRUCTURAL ENGINEER-IN-TRAINING,54000.00,1
ENGINEER INTERN,54000.00,1
SENIOR FULL STACK ENGINEER,54000.00,1
ENGINEERING TECH,54000.00,1
ASSOCIATE TECHNICAL SUPPORT ENGINEER,53750.00,1
LINUX ENGINEER,53422.00,1
JUNIOR DEVELOPER OPERATIONS ENGINEER,53260.00,1
ICT ENGINEER,52500.00,2
QUALIFICATIONS ENGINEER IN PHARMA,52320.00,1
GRADUATE ICT ENGINEER,52000.00,1
SYSTWMS ENGINEER II,51100.00,1
JUNIOR SOFTWARE ENGINEER,51068.75,4
JR SYSTEMS ENGINEER,51000.00,1
ENGINEERING TECHNICIAN,50132.00,8
NETWORK INTEGRATION ENGINEER,50000.00,1
END USER COMPUTE SYSTEM ENGINEER,50000.00,1
RACE TECHNICIAN/ENGINEER,50000.00,1
DATA INTEGRATION ENGINEER,50000.00,1
DESKTOP SUPPORT ENGINEER,50000.00,1
TEIR 2 DEDICATED SUPPORT ENGINEER,50000.00,1
PHYSICAL SECURITY ENGINEER,49806.00,1
SUPPLY CHAIN ENGINEER,49050.00,1
MARKET ENGINEER,49000.00,1
JUNIOR DEVOPS ENGINEER,48450.00,2
NETWORK/SYSTEMS ENGINEER,47500.00,1
PROJECT SUPPORT ENGINEER,47475.00,1
IT SUPPORT ENGINEER,47063.31,7
FULLSTACK ENGINEER,47000.00,2
ENVIRONMENTAL ENGINEER IN TRAINING,46842.64,1
MECHANICAL ENGINEER (IN TRAINING),46720.00,1
RESEARCH AND DEVELOPMENT ENGINEER IN TRAINING,46720.00,1
ENGINEER-IN-TRAINING,45625.00,1
ENGINEERING CONSULTANT,45235.00,1
INTERNAL IT ENGINEER,45000.00,1
TIER TWO ENGINEER,45000.00,1
FREELANCE AUDIO ENGINEER,45000.00,1
QUALITY CONTROL ENGINEER,44800.00,1
"SOLUTION ENGINEER, SERVER",44500.00,1
TELEPHONE ENGINEER,44450.00,1
ENGINEERING COORDINATOR,44000.00,1
SENIOR RF ENGINEER,43600.00,1
GRADUATE DESIGN ENGINEER,43180.00,1
IT INFRASTRUCTURE ENGINEER,42681.40,5
NETWORK ENGINEER I,42500.00,1
DEVOP ENGINEER,42000.00,1
ELECTRICAL ENGINEER 2,41055.00,2
DRAFTSPERSON / ENGINEERING TECHNICIAN,40880.00,1
RESEARCH SOFTWARE ENGINEER,40800.00,1
DEVOPS & CYBER SECURITY ENGINEER,40760.00,1
JR. SYSTEMS ENGINEER,40000.00,1
ALGORITHM ENGINEER,40000.00,1
SR ENGINEERING TECHTECHNI,40000.00,1
ASSOCIATE ENGINEERING TECH,40000.00,1
AUTOMATION ENGINEER INTERN,40000.00,1
CUSTOMER SERVICE ENGINEER,40000.00,1
SENIOR APP SEC ENGINEER,39500.00,1
SYSTEMS AND SOFTWARE ENGINEER,39000.00,1
MANUFACTURING SYSTEMS ENGINEER,38300.00,1
ENGINEERING JOB COORDINATOR,38000.00,1
JUNIOR PROCESS ENGINEER,37960.00,1
SENIOR SERVICE DESK SUPPORT ENGINEER,37836.00,1
2ND LINE ENGINEER,36700.00,1
SOFTWARE DESIGN ENGINEER,36000.00,1
REMOTE SYSTEMS ENGINEER,35600.00,1
JUNIOR 3RD LINE SYSTEMS ENGINEER,34560.00,1
DEPLOYMENT ENGINEER,34500.00,1
GRADUATE SOFTWARE ENGINEER,34415.55,3
SUPPORT ENGINEER SR,33500.00,1
STUDY AND DEVELOPMENT ENGINEER (JAVASCRIPT SOFTWARE ENGINEER),33100.00,1
ENGINEER IN MECHATRONICS,32700.00,1
QA TEST ENGINEER,32000.00,1
DEVOPS AND CLOUD ENGINEER,31610.00,1
MANAGED SERVICES ENGINEER,31000.00,1
ONSITE IT ENGINEER,30187.00,1
DEVSECOPS ENGINEER,30000.00,1
ICT SUPPORT ENGINEER,29438.78,2
IT NETWORK ENGINEER,29158.00,1
SOFTWARE COMMISSIONING ENGINEER,28000.00,1
CORE ENGINEER,26405.00,1
PL SOFTWARE ENGINEER,25920.00,1
JAVA ENGINEER,25200.00,1
SYSTEM ENGINEER / ADMIN,25000.00,1
SOFTWARE DEVELOPMENT ENGINEER - IMAGE PROCESSING,24339.70,1
SENIOR DESKTOP SUPPORT ENGINEER,23474.50,1
ELECTRONIC ENGINEERING APPRENTICE,22225.00,1
DV ENGINEER,20928.00,1
SUPPORT ENGINEER / SYSTEM ADMIN,20000.00,1
VP PRODUCT ENGINEERING,19500.00,1
APPRENTICE SOFTWARE ENGINEER,18010.00,1
LINUX & DEVOPS ENGINEER,17000.00,1
IT&V ENGINEER,15000.00,1
CLOUD SERVICES ENGINEER,10130.00,1
SENIOR DESIGN QUALITY ENGINEER,8900.00,1
BI ENGINEER,8400.00,1
SR.SOFTWARE ENGINEER,165.00,1
"MANAGER, ENGINEERING",165.00,1
ELECTRONICS ENGINEER,152.00,1
SOFTWARE RESEARCH ENGINEER,120.00,1
PRODUCT ENGINEERING,70.00,1
SENIOR SOFTWARE ENGINEER L4,56.10,1
